Zip Code,Median Age,Population,U.S. Born,Foreign Born,Foreign Percentage,Household Income,City,County,Latitude,Longitude
07114,35.2,13698.0,10055.0,2919.0,0.21309680245291282,26326.0,Newark,Essex,40.707553000000004,-74.17883
07201,34.1,27005.0,12032.0,13387.0,0.49572301425661913,44655.0,Elizabeth,Union,40.669502,-74.19889
07202,34.6,41820.0,19319.0,20553.0,0.49146341463414633,44867.0,Elizabeth,Union,40.652302,-74.21692
07203,40.6,21746.0,15039.0,6128.0,0.2817989515313161,52480.0,Roselle,Union,40.653502,-74.26058
07204,37.0,13709.0,9566.0,3811.0,0.2779925596323583,67300.0,Roselle Park,Union,40.665552000000005,-74.26768
07205,37.1,22069.0,15174.0,6399.0,0.2899542344465087,65717.0,Hillside,Union,40.695552,-74.22856
07206,29.0,28010.0,14990.0,11824.0,0.42213495180292754,43429.0,Elizabeth,Union,40.653189000000005,-74.19158
07208,36.2,32499.0,15925.0,14913.0,0.458875657712545,46572.0,Elizabeth,Union,40.673102,-74.22834
07302,34.3,42861.0,25227.0,15882.0,0.37054665080142785,113898.0,Jersey City,Hudson,40.721602000000004,-74.04703
07304,35.1,43290.0,25254.0,15454.0,0.356987756987757,45870.0,Jersey City,Hudson,40.716452000000004,-74.07253
07305,34.8,66229.0,43276.0,20871.0,0.3151338537498679,49453.0,Jersey City,Hudson,40.701302,-74.08843
07306,33.4,55298.0,23589.0,29777.0,0.5384824044269232,51197.0,Jersey City,Hudson,40.733751,-74.06582
07307,33.6,44317.0,22522.0,19927.0,0.44964686237786855,59744.0,Jersey City,Hudson,40.748001,-74.04943
07310,30.4,13378.0,4339.0,8816.0,0.6589923755419346,147357.0,Jersey City,Hudson,40.731901,-74.0402
07311,33.2,420.0,253.0,167.0,0.3976190476190476,189750.0,Jersey City,Hudson,40.73235,-74.075391
07401,44.9,6820.0,5968.0,832.0,0.1219941348973607,151875.0,Allendale,Bergen,41.031504999999996,-74.13409
07403,39.2,8053.0,6813.0,1147.0,0.1424313920278157,80872.0,Bloomingdale,Passaic,41.014497,-74.33021
07405,42.1,17779.0,15152.0,2365.0,0.1330221047302998,113281.0,Butler,Morris,40.99313,-74.35893
07407,38.3,20293.0,13473.0,6399.0,0.3153304095008131,76907.0,Elmwood Park,Bergen,40.905639,-74.1199
07410,42.4,33447.0,23223.0,9876.0,0.29527311866535116,109747.0,Fair Lawn,Bergen,40.933943,-74.11671
07416,41.8,5521.0,5073.0,388.0,0.07027712370947292,59477.0,Franklin,Sussex,41.11736,-74.58784
07417,47.2,10953.0,8938.0,1899.0,0.17337715694330322,155458.0,Franklin Lakes,Bergen,41.010433,-74.20846999999999
07418,41.3,2267.0,2133.0,134.0,0.05910895456550507,128438.0,Glenwood,Sussex,41.232344,-74.48688
